app,func,end_timestamp,duration,start_timestamp,fragments
7,1,1116324.85810709,0.187,1116324.67110709,1
7,1,1116324.9206249714,0.187,1116324.7336249715,1
7,1,1116324.9352591038,0.187,1116324.7482591039,1
12,2,1116337.2020599842,5.905,1116331.2970599842,2
12,2,1116341.356137991,5.399,1116335.957137991,2
10,4,1116397.706882,61.153,1116336.553882,24
10,4,1116376.894671917,40.34,1116336.5546719169,24
7,1,1116337.4369959831,0.203,1116337.2339959831,1
7,1,1116340.9782760143,0.218,1116340.7602760142,1
12,2,1116357.965063095,7.537,1116350.428063095,2
7,1,1116352.3592779636,0.33,1116352.0292779636,1
9,1,1116360.5226140022,0.511,1116360.0116140023,1
14,1,1116361.7693750858,0.012,1116361.7573750857,1
14,1,1116362.7714030745,0.013,1116362.7584030745,1
14,1,1116362.999778986,0.015,1116362.984778986,1
14,1,1116363.1963169577,0.011,1116363.1853169578,1
14,1,1116363.386111021,0.015,1116363.3711110211,1
14,1,1116363.593257904,0.011,1116363.582257904,1
14,1,1116363.8017439842,0.012,1116363.7897439841,1
14,1,1116364.0198450089,0.015,1116364.004845009,1
14,1,1116364.258687019,0.018,1116364.2406870192,1
14,1,1116364.4683640003,0.013,1116364.4553640003,1
14,1,1116364.690762043,0.012,1116364.678762043,1
14,1,1116364.9060399532,0.014,1116364.8920399533,1
14,1,1116365.1173479557,0.011,1116365.1063479558,1
14,1,1116365.3084409237,0.012,1116365.2964409236,1
14,1,1116365.5068778992,0.012,1116365.494877899,1
11,2,1116380.0018661022,13.046,1116366.9558661021,4
11,2,1116379.9072589874,12.92,1116366.9872589875,4
7,1,1116368.380022049,0.187,1116368.193022049,1
7,1,1116368.4369010923,0.189,1116368.2479010923,1
11,4,1116411.0952060225,38.167,1116372.9282060226,24
11,4,1116411.0952060225,38.155,1116372.9402060225,24
7,1,1116374.8724400997,0.187,1116374.6854400998,1
11,2,1116383.251826048,2.558,1116380.693826048,2
11,2,1116383.2682139874,2.574,1116380.6942139873,2
11,1,1116381.9319019318,0.667,1116381.2649019319,1
11,1,1116381.9129469397,0.648,1116381.2649469397,1
11,2,1116385.7484879494,4.072,1116381.6764879494,2
11,2,1116385.6999099257,4.023,1116381.6769099256,2
12,2,1116387.397562981,5.278,1116382.119562981,2
11,2,1116396.95409894,14.335,1116382.61909894,4
11,2,1116396.5905458927,13.859,1116382.7315458928,4
11,2,1116388.3846490383,5.023,1116383.3616490383,2
11,2,1116388.4158990383,5.054,1116383.3618990383,2
7,1,1116384.4329509735,0.43,1116384.0029509736,1
7,1,1116384.5323150158,0.39,1116384.142315016,1
11,1,1116387.4158771038,1.667,1116385.748877104,2
11,1,1116387.4158771038,1.653,1116385.7628771039,2
11,2,1116389.8293640614,3.973,1116385.8563640614,2
11,2,1116389.813726902,3.957,1116385.856726902,2
11,1,1116387.1505980492,0.649,1116386.5015980492,1
11,1,1116387.1505980492,0.649,1116386.5015980492,1
11,1,1116386.662931919,0.033,1116386.629931919,1
11,1,1116386.662931919,0.033,1116386.629931919,1
11,4,1116424.6589970589,37.789,1116386.8699970588,24
11,4,1116424.6589970589,37.789,1116386.8699970588,24
11,1,1116388.1220240593,0.909,1116387.2130240593,2
11,1,1116388.1220240593,0.909,1116387.2130240593,2
11,2,1116394.2255010605,6.918,1116387.3075010604,2
11,2,1116394.2255010605,6.918,1116387.3075010604,2
11,3,1116406.9984910488,19.645,1116387.3534910488,4
11,3,1116406.9799659252,19.626,1116387.3539659253,4
11,3,1116413.196657896,25.671,1116387.525657896,8
11,3,1116413.2310609818,25.705,1116387.5260609817,8
11,2,1116392.615684986,4.918,1116387.697684986,2
11,2,1116392.615684986,4.918,1116387.697684986,2
11,3,1116412.7020130155,24.864,1116387.8380130155,8
11,3,1116412.6831989288,24.845,1116387.8381989289,8
11,2,1116396.2500379086,7.834,1116388.4160379085,2
11,2,1116396.2500379086,7.834,1116388.4160379085,2
11,4,1116447.6961069107,59.217,1116388.4791069108,24
11,4,1116447.6961069107,59.217,1116388.4791069108,24
11,3,1116413.744971037,25.204,1116388.540971037,8
11,3,1116413.731085062,25.19,1116388.541085062,8
11,2,1116396.95409894,8.302,1116388.65209894,4
11,2,1116396.5905458927,7.922,1116388.6685458927,4
11,4,1116421.0115950108,32.202,1116388.8095950107,24
11,4,1116421.0115950108,32.202,1116388.8095950107,24
11,4,1116461.002329111,71.998,1116389.0043291112,24
11,4,1116460.9864668846,71.982,1116389.0044668845,24
11,4,1116451.2763159275,62.132,1116389.1443159275,24
11,4,1116451.2763159275,62.132,1116389.1443159275,24
11,4,1116460.6427030563,71.436,1116389.2067030563,24
11,4,1116460.6427030563,71.436,1116389.2067030563,24
11,4,1116423.0852530005,33.636,1116389.4492530006,24
11,4,1116423.0852530005,33.636,1116389.4492530006,24
11,3,1116408.3235440254,18.576,1116389.7475440255,4
11,3,1116408.340665102,18.593,1116389.747665102,4
11,2,1116403.2447760105,12.956,1116390.2887760105,4
11,2,1116403.2447760105,12.956,1116390.2887760105,4
11,4,1116469.616106987,78.987,1116390.629106987,24
11,4,1116469.616106987,78.987,1116390.629106987,24
11,4,1116449.039659977,58.08,1116390.959659977,24
11,4,1116449.0567510128,58.097,1116390.9597510127,24
11,4,1116542.2733159063,151.181,1116391.0923159062,24
11,4,1116542.2926928997,151.2,1116391.0926928998,24
11,4,1116422.927218914,30.94,1116391.987218914,24
11,4,1116422.927218914,30.94,1116391.987218914,24
11,3,1116409.0125710964,16.986,1116392.0265710964,4
11,3,1116408.996942997,16.97,1116392.026942997,4
11,4,1116428.3425679207,36.293,1116392.0495679206,24
11,4,1116428.3425679207,36.277,1116392.0655679207,24
11,4,1116470.561029911,77.926,1116392.635029911,24
11,4,1116470.561029911,77.926,1116392.635029911,24
11,2,1116396.6547369957,3.913,1116392.7417369958,2
11,2,1116396.6547369957,3.913,1116392.7417369958,2
11,4,1116447.6802499294,54.526,1116393.1542499294,24
11,4,1116447.6802499294,54.526,1116393.1542499294,24
11,4,1116492.832720995,99.158,1116393.674720995,24
11,4,1116492.832720995,99.158,1116393.674720995,24
11,3,1116423.2709798813,29.027,1116394.2439798813,8
11,3,1116423.2553510666,29.011,1116394.2443510666,8
11,2,1116401.4544138908,7.108,1116394.3464138908,2
11,2,1116401.4544138908,7.108,1116394.3464138908,2
11,4,1116448.1345911026,52.898,1116395.2365911026,24
11,4,1116448.117758989,52.881,1116395.236758989,24
11,4,1116449.4459190369,54.084,1116395.3619190368,24
11,4,1116449.4459190369,54.084,1116395.3619190368,24
11,4,1116469.758936882,74.288,1116395.470936882,24
11,4,1116469.7723679545,74.301,1116395.4713679545,24
11,4,1116592.4896080494,196.639,1116395.8506080494,24
11,4,1116592.4896080494,196.639,1116395.8506080494,24
12,2,1116401.4424419403,5.578,1116395.8644419403,2
11,4,1116459.4826529026,63.153,1116396.3296529027,24
11,4,1116459.5017929077,63.172,1116396.3297929077,24
11,3,1116413.8559660912,17.435,1116396.420966091,4
11,3,1116413.8559660912,17.435,1116396.420966091,4
11,2,1116402.9652190208,6.515,1116396.450219021,2
